id,walk_subway(m),walk_bus(m),car_airport(m)
36121,469,433.0,16410.0
36647,505,168.0,11285.0
38663,188,147.0,16893.0
38833,137,78.0,11367.0
39282,252,51.0,11350.0
39572,350,196.0,15413.0
6848,362,158.0,11835.0
6872,404,148.0,10646.0
6990,418,36.0,11758.0
7097,647,297.0,14573.0
7801,281,54.0,11814.0
8490,681,143.0,21789.0
93313,771,39.0,14170.0
94783,316,189.0,15888.0
96471,217,221.0,14789.0
98663,413,196.0,14635.0
100002,374,270.0,16986.0
100186,343,56.0,21547.0
42300,203,119.0,14670.0
42729,712,329.0,19401.0
43105,309,64.0,13662.0
44229,811,61.0,14203.0
44973,326,194.0,11937.0
9357,579,110.0,15351.0
10452,292,51.0,14762.0
12940,293,178.0,15238.0
14314,497,97.0,11513.0
15341,138,62.0,15069.0
15385,785,134.0,12194.0
16580,1268,166.0,15491.0
45910,430,197.0,10755.0
45935,384,472.0,9754.0
45936,663,382.0,12318.0
103555,998,59.0,14274.0
105469,308,15039.0,18313.0
106363,714,575.0,13312.0
106647,330,191.0,14442.0
107630,554,193.0,11031.0
112435,671,335.0,14651.0
113265,699,136.0,22392.0
115535,270,58.0,12371.0
46911,92,57.0,17190.0
49048,275,68.0,14779.0
16821,495,112.0,14772.0
16974,321,126.0,9834.0
17037,1258,76.0,15092.0
18152,1360,188.0,13131.0
18728,321,96.0,15810.0
19174,81,51.0,15736.0
19282,159,98.0,18333.0
52689,683,1393.0,4485.0
53469,1324,160.0,10355.0
115748,384,900.0,5104.0
118061,822,71.0,20355.0
125163,918,138.0,20511.0
135465,96,40.0,15503.0
136493,543,280.0,16886.0
53470,372,275.0,10971.0
53477,1605,192.0,9937.0
54466,323,143.0,12034.0
54508,273,102.0,16308.0
54544,641,23.0,11289.0
54860,105,75.0,10292.0
21794,185,147.0,15674.0
23135,717,333.0,19330.0
23545,294,180.0,13193.0
24285,756,174.0,17407.0
26785,368,81.0,18731.0
27883,563,94.0,15446.0
55959,252,52.0,11350.0
56859,498,139.0,11042.0
57166,724,496.0,3686.0
57297,491,118.0,16631.0
140133,567,39.0,12211.0
141335,591,126.0,24888.0
144087,252,79.0,11338.0
146726,288,60.0,10683.0
148259,276,126.0,11873.0
148825,675,160.0,12618.0
150804,468,148.0,14412.0
57874,607,106.0,10044.0
58059,139,56.0,12260.0
59014,183,143.0,14378.0
