id,longitude,latitude,walk_subway(m),walk_bus(m),car_airport(m)
36121,-73.96611,40.67376,469,433.0,16410.0
36647,-73.94074249267578,40.79245376586914,505,168.0,11285.0
38663,-73.98068,40.68442,188,147.0,16893.0
38833,-73.9466707,40.8180576,137,78.0,11367.0
39282,-73.95087432861328,40.71065139770508,252,51.0,11350.0
39572,-73.98869,40.76203,350,196.0,15413.0
6848,-73.95342,40.70935,362,158.0,11835.0
6872,-73.94255,40.80107,404,148.0,10646.0
6990,-73.94759,40.78778,418,36.0,11758.0
7097,-73.97389,40.69194,647,297.0,14573.0
7801,-73.9561767578125,40.71880722045898,281,54.0,11814.0
8490,-73.93963415175676,40.68455584344908,681,143.0,21789.0
93313,-73.93840021354636,40.684569430603325,771,39.0,14170.0
94783,-73.9551,40.6736,316,189.0,15888.0
96471,-73.96648,40.68513,217,221.0,14789.0
98663,-73.99657,40.75077,413,196.0,14635.0
100002,-73.9324,40.85433,374,270.0,16986.0
100186,-73.99201,40.66952,343,56.0,21547.0
42300,-73.99167,40.71992,203,119.0,14670.0
42729,-74.00062,40.67813,712,329.0,19401.0
43105,-73.98499,40.7449,309,64.0,13662.0
44229,-73.97108,40.69287,811,61.0,14203.0
44973,-73.95234,40.70894,326,194.0,11937.0
9357,-73.98664,40.76724,579,110.0,15351.0
10452,-73.95682,40.68294,292,51.0,14762.0
12940,-73.95417,40.67946,293,178.0,15238.0
14314,-73.95584,40.73535,497,97.0,11513.0
15341,-73.993668,40.721359,138,62.0,15069.0
15385,-73.96397,40.71211,785,134.0,12194.0
16580,-73.97625850509617,40.72372723229208,1268,166.0,15491.0
45910,-73.89963,40.70309,430,197.0,10755.0
45935,-73.92201,40.80635,384,472.0,9754.0
45936,-73.95985,40.8063,663,382.0,12318.0
103555,-73.971985,40.693047,998,59.0,14274.0
105469,-73.8145,40.58603,308,15039.0,18313.0
106363,-73.95284,40.82772,714,575.0,13312.0
106647,-73.95862,40.68647,330,191.0,14442.0
107630,-73.95466,40.72741,554,193.0,11031.0
112435,-73.97306,40.69132,671,335.0,14651.0
113265,-73.9518,40.67582,699,136.0,22392.0
115535,-73.95263,40.82402,270,58.0,12371.0
46911,-73.9746189673198,40.68009896425498,92,57.0,17190.0
49048,-73.95701,40.6829,275,68.0,14779.0
16821,-73.98501,40.72281,495,112.0,14772.0
16974,-73.93762,40.8019,321,126.0,9834.0
17037,-73.98028,40.72289,1258,76.0,15092.0
18152,-73.94831,40.76967,1360,188.0,13131.0
18728,-74.00353,40.74261,321,96.0,15810.0
19174,-74.00207,40.73917,81,51.0,15736.0
19282,-73.96278,40.65437,159,98.0,18333.0
52689,-73.90652,40.77868,683,1393.0,4485.0
53469,-73.87842,40.71567,1324,160.0,10355.0
115748,-73.92266,40.76406,384,900.0,5104.0
118061,-73.92895,40.68462,822,71.0,20355.0
125163,-73.92923,40.68595,918,138.0,20511.0
135465,-73.97548,40.68646,96,40.0,15503.0
136493,-73.97796,40.67497,543,280.0,16886.0
53470,-73.89778,40.70422,372,275.0,10971.0
53477,-73.87714,40.71778,1605,192.0,9937.0
54466,-73.95803,40.80255,323,143.0,12034.0
54508,-73.97409474641334,40.6789595110935,273,102.0,16308.0
54544,-73.94631,40.81182,641,23.0,11289.0
54860,-73.94236,40.79934,105,75.0,10292.0
21794,-74.00223,40.74187,185,147.0,15674.0
23135,-74.00146,40.67747,717,333.0,19330.0
23545,-73.95138,40.82825,294,180.0,13193.0
24285,-73.98026,40.67115,756,174.0,17407.0
26785,-73.98723,40.6686,368,81.0,18731.0
27883,-73.98509,40.72421,563,94.0,15446.0
55959,-73.95087,40.71065,252,52.0,11350.0
56859,-73.94452,40.81201,498,139.0,11042.0
57166,-73.906075,40.772472,724,496.0,3686.0
57297,-73.99338,40.69003,491,118.0,16631.0
140133,-73.96035,40.71347,567,39.0,12211.0
141335,-73.97637,40.67487,591,126.0,24888.0
144087,-73.95333,40.80687,252,79.0,11338.0
146726,-73.94765,40.80392,288,60.0,10683.0
148259,-73.94289,40.71345,276,126.0,11873.0
148825,-73.96338,40.79999,675,160.0,12618.0
150804,-73.98424,40.7203,468,148.0,14412.0
57874,-73.94076,40.80747,607,106.0,10044.0
58059,-73.94444,40.8238,139,56.0,12260.0
59014,-73.98641,40.71946,183,143.0,14378.0
28907,-73.94669,40.77827,596,154.0,12177.0
29013,-73.95646,40.68288,314,4.0,14743.0
29628,-73.96381,40.68292,193,73.0,15037.0
31130,-73.98464,40.7672,351,107.0,14475.0
31994,-73.96383,40.68818,256,256.0,14539.0
33009,-73.95899,40.71512,370,65.0,11511.0
59121,-73.8993,40.70271,483,190.0,10804.0
60611,-73.946533203125,40.792667388916016,262,8.0,11053.0
151199,-73.91488,40.7573,190,1439.0,5996.0
152263,-73.94999,40.80493,421,102.0,10910.0
157673,-73.94062,40.68096,155,94.0,21278.0
158061,-73.91927,40.68511,347,113.0,19505.0
166006,-73.96209,40.79864,417,51.0,12581.0
60666,-73.94559,40.81006,370,235.0,10891.0
34760,-73.97378,40.69101,645,303.0,14676.0
212109,-74.00811,40.73814,561,198.0,18035.0
213330,-73.98969268798828,40.71681594848633,281,54.0,14940.0
216080,-73.97354,40.69062,586,244.0,14722.0
218358,-73.95172,40.80592,422,91.0,11506.0
219066,-73.99232,40.61943,371,191.0,33206.0
219922,-73.95438,40.81553,450,60.0,11810.0
60680,-73.97978,40.72598,808,150.0,15527.0
61406,-73.95635,40.80371,212,103.0,11764.0
62925,-73.95352,40.72967,252,156.0,10514.0
63588,-73.85499,40.81161,2691,88.0,15757.0
63610,-73.83511,40.881,791,191.0,19523.0
168123,-73.98556,40.65891,687,106.0,23012.0
169483,-73.97076,40.60602,467,225.0,27228.0
170761,-73.97762359693657,40.68877615321917,321,221.0,15363.0
173151,-73.95655,40.72852,536,233.0,10872.0
174966,-73.98595,40.7751,390,178.0,15293.0
176135,-73.96096,40.67545,316,173.0,15993.0
223930,-73.96804,40.67319,460,144.0,16214.0
225354,-73.96672,40.71085,828,35.0,12654.0
225976,-74.06757,40.61019,1542,298.0,24301.0
226021,-73.9465,40.71137,573,168.0,11706.0
227495,-73.97274,40.78764,344,184.0,14261.0
228317,-73.92470229417086,40.68563832502508,697,153.0,19984.0
64314,-73.95143,40.67634,656,94.0,22365.0
64365,-73.95072,40.67579,608,98.0,22301.0
66008,-73.99328,40.68028,196,227.0,17980.0
66251,-73.98619,40.72547,523,102.0,15497.0
177606,-73.9749,40.74045,1110,88.0,13997.0
179670,-73.98213,40.72113,757,37.0,14865.0
180201,-73.95984,40.71422,471,93.0,11601.0
182069,-73.94705,40.78959,166,143.0,12485.0
66275,-73.99435,40.72036,52,41.0,14900.0
66974,-73.99102,40.68088,442,262.0,17844.0
233638,-73.90883,40.70132,262,216.0,11023.0
235552,-73.98519,40.66386,673,121.0,18499.0
235951,-73.97071,40.75408,496,132.0,13825.0
235960,-73.98442,40.72113,535,60.0,14491.0
67299,-73.96448,40.71516,927,75.0,12139.0
68735,-73.97459,40.78846,171,77.0,14442.0
68974,-73.99487,40.72,165,95.0,15091.0
190974,-73.98166,40.66836,375,203.0,17791.0
191610,-74.00178397023312,40.74697296939259,372,24.0,15452.0
195123,-73.94326,40.83338,156,160.0,13658.0
195240,-73.95721,40.65468,458,124.0,24125.0
195989,-73.9818207,40.6767158,127,136.0,17649.0
69894,-73.98295,40.77845,123,215.0,15426.0
245544,-73.90061,40.8666,387,206.0,18000.0
245574,-73.95439,40.68927,186,22.0,14247.0
248865,-73.9535,40.73756,855,182.0,11490.0
248966,-73.93107,40.69913,387,305.0,11599.0
249704,-73.94102,40.71065,223,256.0,11296.0
249867,-73.91881,40.68532,295,131.0,19463.0
